polski;angielski
być;be, was/were, been
zostać;become, became, become
zaczynać;begin, began, begun
łamać;break, broke, broken
przynosić;bring, brought, brought
budować;build, built, built
kupować;buy, bought, bought
łapać;catch, caught, caught
wybierać;choose, chose, chosen
przychodzić;come, came, come
kosztować;cost, cost, cost
ciąć;cut, cut, cut
zajmować się;deal, dealt, dealt
robić;do, did, done
rysować;draw, drew, drawn
pić;drink, drank, drunk
prowadzić;drive, drove, driven
jeść;eat, ate, eaten
spadać;fall, fell, fallen
karmić;feed, fed, fed
czuć się;feel, felt, felt
znaleźć;find, found, found
latać;fly, flew, flown
zabraniać;forbid, forbade, forbidden
zapomnieć;forget, forgot, forgotten
marznąć;freeze, froze, frozen
dostać;get, got, got
dawać;give, gave, given
iść;go, went, gone
rosnąć;grow, grew, grown
wisieć;hang, hung, hung
mieć;have, had, had
slyszeć;hear, heard, heard
chować;hide, hid, hidden
uderzyć;hit, hit, hit
trzymać;hold, held, held
widzieć;know, knew, known
położyć coś;lay, laid, laid
prowadzić;lead, led, led
uczyć;learn, learnt, learnt
opuszczać;leave, left, left
pożyczać;lend, lent, lent
pozwalać;let, let, let
położyc się;lie, lay, lain
gubić;lose, lost, lost
robić;make, made, made
zaczynać;mean, meant, meant
spotykać;meet, met, met
płacić;pay, paid, paid
położyć;put, put, put
opuścić;quit, quit, quit
czytać;read, read, read
jechać;ride, rode, ridden
dzwonić;ring, rang, rung
wschodzić;rise, rose, risen
biec;run, ran, run
piłować;saw, sawed, sawn
powiedzieć;say, said, said
widzieć;see, saw, seen
sprzedać;sell, sold, sold
wysłać;send, sent, sent
umieszczać;set, set, set
trząść;shake, shook, shaken
strzelać;shoot, shot, shot
pokazywać;show, showed, shown
zamykać;shut, shut, shut
siadać;sit, sat, sat
spać;sleep, slept, slept
rozmawiać;speak, spoke, spoken
spędzać;spend, spent, spent
rozdzielić się;split, split, split
rozpościerać;spread, spread, spread
stać;stand, stood, stood
kraść;steal, stole, stolen
wsadzić;stick, stuck, stuck
brać;take, took, taken
uczyć kogoś;teach, taught, taught
rozerwać;tear, tore, torn
powiedzieć;tell, told, told
myśleć;think, thought, thought
rzucić;throw, threw, thrown
rozumieć;understand, understood, understood
ubierać;wear, wore, worn
pisać;write, wrote, written
