polski;niemiecki
piec;backen, backte, gebacken
rozkazywać;befehlen, befahl, befohlen
zaczynać;beginnen, begann, begonnen
gryźć;beißen, biss, gebissen
oszukiwać;betrügen, betrog, betrogen
ruszać. nakłaniać;bewegen, bewog, bewogen
giąć;biegen, bog, gebogen
oferować;bieten, bot, geboten
wiązać;binden, band, gebunden
prosić;bitten, bat, gebeten
pozostawać;bleiben, blieb, geblieben
smażyć, piec;braten, briet, gebraten
łamać;brechen, brach, gebrochen
płonąć;brennen, brannte, gebrannt
przynosić;bringen, brachte, gebracht
myśleć;denken, dachte, gedacht
móc, mieć pozwolenie;dürfen, durfte, gedurft
polecać;empfehlen, empfahl, empfohlen
wystraszyć się;erschrecken, erschrak, erschrocken
jeść;essen, aß, gegessen
jechać, zawozić;fahren, fuhr, gefahren
upadać;fallen, fiel, gefallen
łapać;fangen, fing, gefangen
znajdować;finden, fand, gefunden
latać;fliegen, flog, geflogen
żreć;fressen, fraß, gefressen
marznąć;frieren, fror, hat gefroren
dawać;geben, gab, gegeben
iść;gehen, ging, gegangen
obowiązywać;gelten, galt, gegolten
rozkoszywać się;genießen, genoss, genossen
wydarzać się;geschehen, geschah, geschehen
wygrywać;gewinnen, gewann, gewonnen
podlewać;gießen, goss, gegossen
chwytać;greifen, griff, gegriffen
mieć;haben, hatte, gehabt
trzymać;halten, hielt, gehalten
wisieć;hängen, hing, gehängt/ gehangen
nazywać się;heißen, hieß, geheißen
pomagać;helfen, half, geholfen
znać;kennen, kannte, gekannt
brzmieć, dzwonić;klingen, klang, geklungen
przychodzić;kommen, kam, gekommen
móc, umieć;können, konnte, gekonnt
ładować;laden, lud, geladen
kazać, zostawiać;lassen, ließ, gelassen
biec;laufen, lief, gelaufen
cierpieć;leiden, litt, gelitten
pożyczać;leihen, lieh, geliehen
czytać;lesen, las, gelesen
leżeć;liegen, lag, gelegen
kłamać;lügen, log, gelogen
unikać;meiden, mied, gemieden
mierzyć;messen, maß, gemessen
lubić;mögen, mochte, gemocht
musieć;müssen, musste, gemusst
brać;nehmen, nahm, genommen
nazywać;nennen, nannte, genannt
radzić;raten, riet, geraten
rozrywać;reißen, riss, gerissen
jeździć konno;reiten, ritt, ist / hat geritten
pędzić;rennen, rannte, gerannt
pachnieć;riechen, roch, gerochen
wołać;rufen, rief, gerufen
solić;salzen, salzte, gesalzen
tworzyć;schaffen, schuf, geschaffen
rozwodzić;scheiden, schied, geschieden
świecić;scheinen, schien, geschienen
przesuwać;schieben, schob, geschoben
strzelać;schießen, schoss, geschossen
spać;schlafen, schlief, geschlafen
bić;schlagen, schlug, geschlagen
zamykać;schließen, schloss, geschlossen
wywalać, rzucać;schmeißen, schmiss, geschmissen
topić, topnieć;schmelzen, schmolz, geschmolzen
kroić, ciąć;schneiden, schnitt, geschnitten
pisać;schreiben, schrieb, geschrieben
krzyczeć;schreien, schrie, geschrien
milczeć;schweigen, schwieg, geschwiegen
puchnąć;schwellen, schwoll, geschwollen
pływać;schwimmen, schwamm, geschwommen
widzieć;sehen, sah, hat gesehen
być;sein, war, gewesen
wysyłać;senden, sandte, gesandt (gesendet)
śpiewać;singen, sang, gesungen
tonąć;sinken, sank, gesunken
siedzieć;sitzen, saß, gesessen
mieć powinność;sollen, sollte, gesollt
mówić, rozmawiać;sprechen, sprach, gesprochen
skakać;springen, sprang, gesprungen
kłuć;stechen, stach, gestochen
stać;stehen, stand, gestanden
kraść;stehlen, stahl, gestohlen
wchodzić, wspinać się;steigen, stieg, gestiegen
umierać;sterben, starb, gestorben
pchnąć, uderzyć;stoßen, stieß, gestoßen
malować;streichen, strich, gestrichen
kłócić się;streiten, stritt, gestritten
nosić;tragen, trug, getragen
spotykać;treffen, traf, getroffen
podejść, nadepnąć;treten, trat, getreten
pić;trinken, trank, getrunken
robić, czynić;tun, tat, getan
psuć, gnić;verderben, verdarb, verdorben
zapominać;vergessen, vergaß, vergessen
gubić, tracić;verlieren, verlor, verloren
znikać;verschwinden, verschwand, verschwunden
wybaczać;verzeihen, verzieh, verziehen
rosnąć;wachsen, wuchs, gewachsen
myć, prać;waschen, wusch, gewaschen
stać się, zostać;werden, wurde, geworden
rzucać;werfen, warf, geworfen
ważyć;wiegen, wog, gewogen
wiedzieć;wissen, wusste, gewusst
chcieć;wollen, wollte, gewollt
ciągnąć;ziehen, zog, gezogen
zmuszać;zwingen, zwang, gezwungen
